Feature,Importance
followers_count,0.2789087921640601
favourites_count,0.27682155902128686
account_age_days,0.1345275420227826
statuses_count,0.07406943514154743
favourites_per_day,0.05615458363535442
tweets_per_day,0.0492275606683634
friends_count,0.04406829882655936
followers_friends_ratio,0.03125848196062769
has_description,0.009950033471746413
geo_enabled,0.006456612388732029
has_location,0.005727284054861678
has_extended_profile,0.005433050935240071
default_profile,0.004717169839184958
has_profile_banner,0.004427756901039383
has_default_bg_theme,0.003693107545958463
has_added_url,0.003567808771449695
profile_background_tile,0.002972696964990026
lang_cat_en,0.0027291105416192406
lang_cat_other,0.0020475509934890558
profile_use_background_image,0.0018274753580320175
lang_cat_es,0.0008690509616765204
lang_cat_pt,0.0005450378313985563
